row_id	status	notes	screenshots
M-SNAPSHOTS-01	PASS	create-name is type="text" (Playwright-drivable; not the T-7 number wall); value commits to the Dash store on blur	—
M-SNAPSHOTS-02	PASS	create-description is type="text"; value commits on blur	—
M-SNAPSHOTS-03	PASS(post-fix)	click -> 201; "✅ Snapshot created successfully: snapshot_20260811T010849Z"; BOTH inputs cleared. Table-refresh half of the expectation initially FAILED (stayed on empty state) -- not a refresh bug: canopy's own list endpoint returned empty while cascor held the .h5 (F-CANOPY-007). Re-verified PASS after the JUNIPER_CANOPY_SNAPSHOT_DIR fix + canopy bounce.	—
M-SNAPSHOTS-06	PASS	both states proven: empty -> status "No snapshots available" + empty-state display:block + 0 rows; populated -> status "1 snapshot(s) found" + empty-state display:none + 1 row (289.7 KB) + 1 View btn + 4 op btns	—
W5-01	PASS	Snapshots tab lists the empty state on arrival (baseline was a genuinely empty snapshot set, confirmed against cascor)	—
W5-02	PASS	name + description typed and committed	—
W5-03	PASS(post-fix)	see M-SNAPSHOTS-03; create is proxied to cascor and writes juniper-cascor/src/snapshots/snapshot_20260811T010849Z.h5 (296701 bytes)	—
M-NETWORK-EDITOR-05	PASS(D-0 re-confirmed)	GET :8051/api/network/topology -> 404 (unregistered route), re-probed live this segment; corroborates the inherited 20260809T223851Z rowlog verdict	—
W5-04	FAIL	F-CANOPY-009. Detail panel DOES fill from the click (t=14308ms: "ID: snapshot_20260811T010849Z Name: ...h5 Times...") but is WIPED back to the placeholder at t=21320ms (~7s later, no user action) by the panel's own 10s refresh-interval rebuild. Wire capture: select_snapshot returns {"data":null} with changedPropIds naming the view-btn n_clicks (value absent => falsy); update_detail_panel then renders the placeholder off selected-id.data=null. Root cause hdf5_snapshots_panel.py:920-927 (View button built without n_clicks=0, unlike the 4 op-btns at :936-954) + the :997-998 guard returning None instead of dash.no_update. Backend exonerated: GET :8051/api/v1/snapshots/{id} serves full detail incl. HDF5 attributes.	—
W5-05	PASS	Op menu -> Restore opens the confirm modal with the exact expected body: "Confirm Restore of snapshot: snapshot_20260811T010849Z / Load this snapshot for inspection and modification. Training is NOT started -- invoke Retrain or Resume to begin a training run. / ⚠️ Training must ...". Both halves of the expectation (title + ⚠️ training-state warning) met. Caveat recorded separately as F-CANOPY-010: the modal self-closes ~3.6s later unaided.	—
W5-06	PASS	Cancel closes the modal and fires NO request. Proven on the wire, not by timing: exactly one _dash-update-component carrying restore-cancel -> {"hdf5-snapshots-panel-restore-modal":{"is_open":false}} (the dedicated cancel callback, :1209-1210), and zero /api/ requests in the capture window. Timing: modal open t=3383ms, cancel clicked t=3390ms, closed t=6172ms -- i.e. the close was the click, not the F-CANOPY-010 decay.	—
W5-07	PASS	RE-RUN in segment 6 on a supervised leg (10.6h uptime, zero child exits in the supervisor log) -- supersedes the segment-5 INCONCLUSIVE, which was environmental (cascor dead on arrival of the confirm). Single-evaluate gesture: op-btn t=9ms, confirm visible t=1837ms, restore-confirm clicked t=1844ms (inside the F-CANOPY-010 window), status settled t=4282ms -> "✅ Restored from snapshot 'snapshot_20260811T010849Z'". Wire is server-side (0 /api/v1/snapshots entries across 1978 browser requests): cascor log POST /v1/snapshots/{id}/restore -> 200 OK + "Snapshot restored: ... (FSM=Investigating)" at 20:24:03,610. Backend truth: GET :8202/v1/network empty ("No network created") -> input_size:2, output_size:2, hidden_units:10, correct CasCor cascade fan-in. Restore does NOT start training (Stopped/Idle), matching the modal copy. Degradation found on the same restore: F-CASCOR-002 (optimizer silently dropped; UI still says unqualified ✅).	—
W5-08	PASS	GET :8051/api/status -> fsm_status = 'INVESTIGATING', corroborated at source by cascor /v1/training/status -> state_machine.status = "INVESTIGATING", phase "IDLE". is_training false / training_state.status "Stopped" -- restore did not start a run, per the modal's own copy.	—
W5-09	FAIL	F-CANOPY-011. Expected idle hides / active shows / badge "FSM: Investigating"; observed badge "FSM: Unknown", idle display:block, active display:none -- STABLE across 6 samples spanning 12.5s (not a transient), while the FSM was genuinely INVESTIGATING. Root cause network_editor_panel.py:400-412 (_is_investigating) + :501 (badge) read status["state_machine"]["status"] with a status["status"] fallback; canopy's /api/status returns NEITHER (flat dict, FSM at fsm_status) -- verified live: 'state_machine' in payload False, 'status' in payload False, fsm_status 'INVESTIGATING'. state_machine is cascor's schema, not canopy's; the :403-406 docstring asserts the wrong contract in prose. Gate returns False unconditionally -> the whole active editing surface (add/remove/patch) is unreachable via UI.	—
W5-10	PASS(expected divergence D-0)	topology-readout -> "No topology loaded." and remove-idx options [""] (empty) -- exactly the matrix's "expected today" text, so the row passes as written. Cause is now known to be DOUBLED and the first masks the second: (1) F-CANOPY-011 short-circuits at :505 before the topology fetch is attempted (topology-store None -> placeholder); (2) D-0 proper -- the :517 fetch targets /api/network/topology (404 live) while the working route is /api/topology (200; input_units:2, output_units:2, hidden_units:10, 14 nodes, 89 connections). Operational consequence: fixing the D-0 route ALONE will not revive the Network Editor; both the FSM key and the route must be corrected.	—
